datetime;temp;solarradiation;solarenergy
2013-08-01T00:00:00;20.1;0;
2013-08-01T01:00:00;19.8;0;
2013-08-01T02:00:00;19.6;0;
2013-08-01T03:00:00;19.3;0;
2013-08-01T04:00:00;18.3;0;
2013-08-01T05:00:00;17.6;11.8;0
2013-08-01T06:00:00;17;115.7;0.4
2013-08-01T07:00:00;17.4;269.3;1
2013-08-01T08:00:00;19.5;430.1;1.5
2013-08-01T09:00:00;22.8;579.5;2.1
2013-08-01T10:00:00;25.8;704.8;2.5
2013-08-01T11:00:00;27.3;793.5;2.9
2013-08-01T12:00:00;28.8;837;3
2013-08-01T13:00:00;30.3;833.5;3
2013-08-01T14:00:00;30.8;786.3;2.8
2013-08-01T15:00:00;31.3;697;2.5
2013-08-01T16:00:00;32.6;570.3;2.1
2013-08-01T17:00:00;32.5;400.4;1.4
2013-08-01T18:00:00;31.8;211.3;0.8
2013-08-01T19:00:00;30.9;89;0.3
2013-08-01T20:00:00;30.1;10.3;0
2013-08-01T21:00:00;28.3;0;
2013-08-01T22:00:00;27.1;0;
2013-08-01T23:00:00;25.8;0;
2013-08-02T00:00:00;24.6;0;
2013-08-02T01:00:00;23.3;0;
2013-08-02T02:00:00;21.6;0;
2013-08-02T03:00:00;20.1;0;
2013-08-02T04:00:00;18.6;0;
2013-08-02T05:00:00;17.6;11.3;0
2013-08-02T06:00:00;17.6;112.7;0.4
2013-08-02T07:00:00;18.1;262.8;0.9
2013-08-02T08:00:00;18.3;360.8;1.3
2013-08-02T09:00:00;18.3;421.8;1.5
2013-08-02T10:00:00;18.4;418.6;1.5
2013-08-02T11:00:00;19.8;533;1.9
2013-08-02T12:00:00;20.7;544.8;2
2013-08-02T13:00:00;21.6;600.5;2.2
2013-08-02T14:00:00;22.6;734.3;2.6
2013-08-02T15:00:00;24.6;694.8;2.5
2013-08-02T16:00:00;24.8;573.5;2.1
2013-08-02T17:00:00;25;421.4;1.5
2013-08-02T18:00:00;23.8;258.8;0.9
2013-08-02T19:00:00;23.1;107;0.4
2013-08-02T20:00:00;22.1;8.2;0
2013-08-02T21:00:00;20.8;0;
2013-08-02T22:00:00;19.8;0;
2013-08-02T23:00:00;18.8;0;
2013-08-03T00:00:00;18.1;0;
2013-08-03T01:00:00;16.6;0;
2013-08-03T02:00:00;16.5;0;
2013-08-03T03:00:00;16.1;0;
2013-08-03T04:00:00;15.6;0;
2013-08-03T05:00:00;15.6;9.8;0
2013-08-03T06:00:00;15.5;111;0.4
2013-08-03T07:00:00;15.6;263.4;0.9
2013-08-03T08:00:00;16.6;417;1.5
2013-08-03T09:00:00;17.3;554;2
2013-08-03T10:00:00;19.1;663.3;2.4
2013-08-03T11:00:00;19.2;745;2.7
2013-08-03T12:00:00;21.3;809.8;2.9
2013-08-03T13:00:00;22.1;816;2.9
2013-08-03T14:00:00;22.5;779.5;2.8
2013-08-03T15:00:00;23.8;700.3;2.5
2013-08-03T16:00:00;22.7;576.8;2.1
2013-08-03T17:00:00;23.3;424.1;1.5
2013-08-03T18:00:00;23;260.1;0.9
2013-08-03T19:00:00;21.5;92.4;0.3
2013-08-03T20:00:00;20.3;9.2;0
2013-08-03T21:00:00;19.3;0;
2013-08-03T22:00:00;18.6;0;
2013-08-03T23:00:00;17.5;0;
2013-08-04T00:00:00;16.6;0;
2013-08-04T01:00:00;16.1;0;
2013-08-04T02:00:00;15.6;0;
2013-08-04T03:00:00;15.3;0;
2013-08-04T04:00:00;15;0;
2013-08-04T05:00:00;14.8;8.6;0
2013-08-04T06:00:00;15.1;101.3;0.4
2013-08-04T07:00:00;15.5;253.6;0.9
2013-08-04T08:00:00;16.4;404.3;1.5
2013-08-04T09:00:00;18;535;1.9
2013-08-04T10:00:00;19.6;651.5;2.3
2013-08-04T11:00:00;21.3;685.8;2.5
2013-08-04T12:00:00;21.1;614.5;2.2
2013-08-04T13:00:00;22.6;774.5;2.8
2013-08-04T14:00:00;22.1;738.8;2.7
2013-08-04T15:00:00;23.3;662.5;2.4
2013-08-04T16:00:00;22.4;469.8;1.7
2013-08-04T17:00:00;23.1;188.9;0.7
2013-08-04T18:00:00;22.1;66.9;0.2
2013-08-04T19:00:00;21.1;26.6;0.1
2013-08-04T20:00:00;20.3;2.4;0
2013-08-04T21:00:00;19.6;0;
2013-08-04T22:00:00;18.8;0;
