name;datetime;temp;feelslike;dew;humidity;precip;precipprob;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;conditions;icon;stations
london;2013-07-22T00:00:00;20;20;16;77.76;0;0;;0;0;;0.1;74;1017.9;2.3;8.9;0;0;0;Clear;clear-night;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T01:00:00;19.3;19.3;15.6;79.19;0;0;;0;0;;0.1;66;1017.9;0.6;7.9;0;0;0;Clear;clear-night;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T02:00:00;18.8;18.8;15.8;82.73;0;0;;0;0;;0;45;1017.8;30;7;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T03:00:00;18.6;18.6;16.1;85.39;0;0;;0;0;;0;12;1017.5;4.7;7.2;0;0;0;Clear;clear-night;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T04:00:00;18.5;18.5;15.8;84.32;0;0;;0;0;;0.1;57;1016.8;40;6.5;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T05:00:00;18;18;15.5;85.36;0;0;;0;0;;0.1;46;1016.5;44.4;6.7;20.1;0.1;0;Partially cloudy;partly-cloudy-night;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T06:00:00;18.1;18.1;15.3;83.75;0;0;;0;0;;0.1;48;1016.6;59.7;7.6;105.8;0.4;1;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T07:00:00;18.5;18.5;15.1;80.15;0.001;100;rain;0;0;;0.1;30;1016.7;52;6.4;232.9;0.8;2;Rain, Partially cloudy;rain;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T08:00:00;19;19;15.4;79.17;0;0;;0;0;;0;57;1016.9;40.8;8.6;365.6;1.3;4;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T09:00:00;21.2;21.2;16.5;75.02;0;0;;0;0;;0.1;77;1016.9;90;11.3;490.4;1.8;5;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T10:00:00;22.7;22.7;16.8;69.75;0;0;;0;0;;0.1;109;1016.8;48.8;14.3;610.5;2.2;6;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T11:00:00;25.6;25.6;17.8;62.42;0;0;;0;0;;0.1;120;1016.3;90;18.4;649.5;2.3;6;Partially cloudy;partly-cloudy-day;03672099999,03781099999,03772099999,03770099999
london;2013-07-22T12:00:00;27.4;28.3;18.1;57.18;0;0;;0;0;;0.1;145;1016;77.7;23.5;683.8;2.5;7;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T13:00:00;29.7;30.6;18.3;50.66;0;0;;0;0;29.5;0.1;145;1015.7;90;26.3;660;2.4;7;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T14:00:00;31.8;31.9;16.1;38.89;0;0;;0;0;;0.1;171;1015.2;60;25.4;542.5;2;5;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T15:00:00;32.8;32.5;15.1;34.5;0;0;;0;0;;0.1;179;1014.8;50;34.8;541.5;1.9;5;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T16:00:00;32.5;32.1;14.8;34.42;0;0;;0;0;;0.1;205;1014.6;32.3;27;530;1.9;5;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T17:00:00;32.3;32;15;35.25;0;0;;0;0;;0.1;198;1014.3;24.5;33.4;403.4;1.5;4;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T18:00:00;32.5;32;14.5;33.77;0;0;;0;0;;0.1;204;1014.4;30.8;31.4;256;0.9;3;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T19:00:00;30.6;30.2;14.8;38.34;0;0;;0;0;;0.1;199;1014.2;31.7;31.5;114.4;0.4;1;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T20:00:00;29.1;29.1;15.3;43.16;0;0;;0;0;;0.1;203;1014.5;44.8;28.8;14.6;0.1;0;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T21:00:00;27.6;27.8;15;46.21;0;0;;0;0;;0.1;227;1014.7;49.4;32.4;0;0;0;Partially cloudy;partly-cloudy-day;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T22:00:00;25.5;25.5;15.1;52.29;0;0;;0;0;;0.1;192;1015.1;36.7;26;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03672099999,03781099999,03772099999,03770099999
london;2013-07-22T23:00:00;24.1;24.1;15.4;57.95;0;0;;0;0;;0;203;1014.8;37.7;28.5;0;0;0;Partially cloudy;partly-cloudy-night;03769099999,03672099999,03781099999,03772099999,03770099999
